cluster_id,cluster_name,connected_date,month,resource,avg_hourly_cost,avg_daily_cost,avg_monthly_cost
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2024-12,Storage,0.0001,0.0033,0.10
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-01,CPU,0.0161,0.3863,11.98
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-01,RAM,0.0021,0.0510,1.58
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-01,Storage,0.0001,0.0033,0.10
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-02,CPU,0.0079,0.1906,5.34
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-02,RAM,0.0010,0.0230,0.64
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-02,Storage,0.0001,0.0033,0.09
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-03,CPU,0.0077,0.1846,5.72
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-03,RAM,0.0010,0.0229,0.71
589c1c43-91c1-4b06-b496-fa2ce071d2f7,eks-dev-bff-nv,2024-12-23,2025-03,Storage,0.0001,0.0033,0.10
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-01,CPU,0.0282,0.6768,20.98
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-01,RAM,0.0038,0.0909,2.82
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-01,Storage,0.0000,0.0000,0.00
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-02,CPU,0.0088,0.2118,5.93
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-02,RAM,0.0011,0.0275,0.77
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-02,Storage,0.0000,0.0000,0.00
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-03,CPU,0.0080,0.1908,5.92
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-03,RAM,0.0010,0.0241,0.75
00dea67a-379c-4cb6-a5a7-8975b6dc1c7e,eks-dev-bff-nv,2025-01-31,2025-03,Storage,0.0000,0.0000,0.00
ba877e52-f99d-45a6-b5c1-311b340666d5,eks-qa-bff-nv,2025-02-03,2025-02,CPU,0.0213,0.5113,14.32
ba877e52-f99d-45a6-b5c1-311b340666d5,eks-qa-bff-nv,2025-02-03,2025-02,RAM,0.0027,0.0645,1.81
ba877e52-f99d-45a6-b5c1-311b340666d5,eks-qa-bff-nv,2025-02-03,2025-02,Storage,0.0000,0.0000,0.00
ba877e52-f99d-45a6-b5c1-311b340666d5,eks-qa-bff-nv,2025-02-03,2025-03,CPU,0.0072,0.1736,5.38
ba877e52-f99d-45a6-b5c1-311b340666d5,eks-qa-bff-nv,2025-02-03,2025-03,RAM,0.0009,0.0213,0.66
ba877e52-f99d-45a6-b5c1-311b340666d5,eks-qa-bff-nv,2025-02-03,2025-03,Storage,0.0000,0.0000,0.00
2adbfe1b-3d39-4c31-8b49-4b388453ef25,eks-qa-front-nv,2025-02-26,2025-02,CPU,0.0139,0.3347,9.37
2adbfe1b-3d39-4c31-8b49-4b388453ef25,eks-qa-front-nv,2025-02-26,2025-02,RAM,0.0019,0.0462,1.29
